,index,match_api_id,country,season,comment,stats,event_incident_typefk,elapsed,player2,subtype,player1,sortorder,team,id,n,type,goal_type,elapsed_plus,coordinates,del
32958,0,1778156.0,Spain,2014/2015,n,,393,24,359197.0,shot,294003.0,3,10205.0,3979004,78,goal,n,,,
32959,1,1778156.0,Spain,2014/2015,n,,411,70,189101.0,volley,38044.0,3,10205.0,3979497,278,goal,n,,,
32960,0,530472.0,Spain,2008/2009,n,,411,6,37459.0,volley,37824.0,1,10267.0,570657,236,goal,n,,,
32961,1,530472.0,Spain,2008/2009,n,,393,22,45605.0,shot,75310.0,1,9865.0,570694,254,goal,n,,,
32962,2,530472.0,Spain,2008/2009,p,,20,29,,,30909.0,0,10267.0,570711,264,goal,p,,,
32963,3,530472.0,Spain,2008/2009,n,,393,61,37459.0,shot,30909.0,6,10267.0,570794,307,goal,n,,,
32964,4,530472.0,Spain,2008/2009,n,,406,64,37622.0,header,75310.0,1,9865.0,570800,310,goal,n,,,
32965,0,685043.0,Spain,2009/2010,n,,393,63,37459.0,shot,41468.0,0,10267.0,1008025,266,goal,n,,,
32966,1,685043.0,Spain,2009/2010,n,,393,70,30909.0,shot,37459.0,3,10267.0,1008044,272,goal,n,,,
32967,0,875703.0,Spain,2010/2011,n,,80,26,,shot,37506.0,5,10267.0,1304470,141,goal,n,,,
32968,1,875703.0,Spain,2010/2011,n,,80,63,,shot,37506.0,5,10267.0,1304622,165,goal,n,,,
32969,2,875703.0,Spain,2010/2011,n,,44,90,,header,26554.0,3,9865.0,1304690,183,goal,n,,,
32970,0,1505921.0,Spain,2013/2014,p,,20,33,,,39122.0,0,10267.0,3102498,20,goal,p,,,
32971,1,1505921.0,Spain,2013/2014,n,,71,62,,,157869.0,0,9865.0,3102692,21,goal,n,,,
32972,2,1505921.0,Spain,2013/2014,n,,71,72,,,189192.0,0,9865.0,3102734,22,goal,n,,,
32973,0,1778222.0,Spain,2014/2015,n,,393,11,35324.0,shot,75307.0,2,10267.0,4077138,65,goal,n,,,
32974,1,1778222.0,Spain,2014/2015,n,,393,13,202220.0,shot,45204.0,1,9865.0,4077145,79,goal,n,,,
32975,2,1778222.0,Spain,2014/2015,n,,721,28,241825.0,tap_in,193869.0,3,10267.0,4077243,284,goal,n,,,
32976,3,1778222.0,Spain,2014/2015,n,,414,33,38469.0,deflected,45204.0,1,9865.0,4077273,197,goal,n,,,
32977,4,1778222.0,Spain,2014/2015,n,,406,83,391058.0,header,75310.0,4,10267.0,4077677,603,goal,n,,,
32978,0,530257.0,Spain,2008/2009,p,,20,7,,,75310.0,0,9865.0,499781,24,goal,p,,,
32979,1,530257.0,Spain,2008/2009,n,,71,13,,,23853.0,0,8371.0,499856,23,goal,n,,,
32980,2,530257.0,Spain,2008/2009,o,,115,71,,,18501.0,0,9865.0,500544,30,goal,o,,,
32981,3,530257.0,Spain,2008/2009,n,,71,90,,,26044.0,0,8371.0,500818,32,goal,n,,,
32982,0,685077.0,Spain,2009/2010,n,,71,20,,,23853.0,0,8371.0,1019228,21,goal,n,,,
32983,1,685077.0,Spain,2009/2010,npm,,195,62,,,42369.0,0,8371.0,1019668,2,goal,npm,,,
32984,0,1505940.0,Spain,2013/2014,n,,71,18,,,196188.0,0,9865.0,3125375,20,goal,n,,,
32985,0,530618.0,Spain,2008/2009,n,,71,49,,,37441.0,0,9783.0,654388,19,goal,n,,,
32986,1,530618.0,Spain,2008/2009,n,,71,68,,,164210.0,0,9783.0,654618,17,goal,n,,,
32987,0,875574.0,Spain,2010/2011,n,,71,4,,,43329.0,0,9865.0,1191207,19,goal,n,,,
32988,1,875574.0,Spain,2010/2011,n,,71,18,,,43329.0,0,9865.0,1191341,20,goal,n,,,
32989,0,1778088.0,Spain,2014/2015,dg,,298,84,,shot,362855.0,1,9865.0,3790951,202,goal,dg,,,
32990,1,1778088.0,Spain,2014/2015,n,,393,90,362855.0,shot,477493.0,10,9865.0,3791068,340,goal,n,2.0,,
32991,0,530338.0,Spain,2008/2009,p,,20,11,,,21785.0,0,9865.0,519746,18,goal,p,,,
32992,1,530338.0,Spain,2008/2009,n,,71,19,,,75216.0,0,8388.0,519873,21,goal,n,,,
32993,2,530338.0,Spain,2008/2009,n,,71,51,,,102002.0,0,8388.0,520385,22,goal,n,,,
32994,0,530637.0,Spain,2008/2009,n,,71,2,,,75239.0,0,9865.0,669240,20,goal,n,,,
