"player_name";"player_api_id";"player_nation";"season";"team_long_name";"team_api_id";"season_player_age";"market_val_amnt";"player_pos";"team_country"
"Maikel Kieftenbeld";"147600";"Netherlands";"2010";"FC Groningen";"8674";"20";"400000";"DM";"Netherlands"
"Maikel van der Werff";"112477";"Netherlands";"2015";"Vitesse";"8277";"26";"350000";"CB";"Netherlands"
"Makoto Hasebe";"30530";"Japan";"2014";"Eintracht Frankfurt";"9810";"30";"800000";"DM";"Germany"
"Mamadou Sakho";"94043";"France";"2013";"Liverpool";"8650";"23";"6000000";"CB";"England"
"Mano";"45316";"Portugal";"2012";"Estoril Praia";"7842";"25";"50000";"RB";"Portugal"
"Manolo Gabbiadini";"172899";"Italy";"2011";"Atalanta";"8524";"20";"5000000";"CF";"Italy"
"Manolo Gabbiadini";"172899";"Italy";"2012";"Bologna";"9857";"21";"5000000";"CF";"Italy"
"Manolo Gabbiadini";"172899";"Italy";"2013";"Sampdoria";"9882";"22";"5000000";"CF";"Italy"
"Manu Molina";"213490";"Spain";"2010";"RCD Espanyol";"8558";"19";"400000";"CM";"Spain"
"Manuel Giandonato";"192574";"Italy";"2011";"Lecce";"9888";"20";"150000";"DM";"Italy"
"Manuel Lanzini";"210276";"Argentina";"2015";"West Ham United";"8654";"22";"10000000";"AM";"England"
"Manuel Neuer";"27299";"Germany";"2011";"FC Bayern Munich";"9823";"25";"18000000";"GK";"Germany"
"Manuel da Costa";"39658";"Morocco";"2009";"West Ham United";"8654";"23";"450000";"CB";"England"
"Manuel da Costa";"39658";"Morocco";"2012";"CD Nacional";"10214";"26";"450000";"CB";"Portugal"
"Mapou Yanga-Mbiwa";"93985";"France";"2014";"Roma";"8686";"25";"250000";"CB";"Italy"
"Mapou Yanga-Mbiwa";"93985";"France";"2015";"Olympique Lyonnais";"9748";"26";"250000";"CB";"France"
"Marafona";"164316";"Portugal";"2015";"FC Paços de Ferreira";"6403";"28";"500000";"GK";"Portugal"
"Marc Albrighton";"139671";"England";"2014";"Leicester City";"8197";"25";"4000000";"RM";"England"
"Marc Muniesa";"173382";"Spain";"2013";"Stoke City";"10194";"21";"2400000";"CB";"England"
"Marc Wilson";"47418";"Ireland";"2010";"Stoke City";"10194";"23";"10000";"CB";"England"
"Marcel Ritzmaier";"179115";"Austria";"2013";"SC Cambuur";"7788";"20";"1000000";"CM";"Netherlands"
